"","GEOID","GEO_ID","state","place","NAME","CRRALL","CRRINT","RESP_DATE","FSRR2010","dif","popul","hhold","hunit","hhinc","povty","lmeng","hispa","white","black","asian","other","nonwh"
"125","1714026","1600000US1714026","17","14026","Chicago Heights city, Illinois",55.6,41,"2020-08-19",62,-6.4,30087,10037,11817,47592,25.2,5.5,36.8,20.5,39.9,0.1,2.7,79.5
"126","1716691","1600000US1716691","17","16691","Country Club Hills city, Illinois",70.9,58.2,"2020-08-19",68,2.90000000000001,16801,5824,6525,59353,8.7,0.7,6.2,5.1,85.7,2.3,0.7,94.9
"127","1716873","1600000US1716873","17","16873","Countryside city, Illinois",75.2,62.1,"2020-08-19",73.1,2.10000000000001,5997,2544,2636,55714,8.4,6.1,24,69.5,2.6,1.2,2.7,30.5
"128","1717458","1600000US1717458","17","17458","Crest Hill city, Illinois",72.5,60.9,"2020-08-19",72.9,-0.400000000000006,20379,6967,7464,54594,12,3.4,17.5,53.4,22.6,3.6,2.9,46.6
"129","1717497","1600000US1717497","17","17497","Crestwood village, Illinois",75.8,48.6,"2020-08-19",76.4,-0.600000000000009,10901,4988,5702,59712,9.5,1,8.7,82.6,6.3,2.2,0.2,17.4
"130","1717523","1600000US1717523","17","17523","Crete village, Illinois",76.8,66.4,"2020-08-19",77.9,-1.10000000000001,8184,3063,3457,73736,3.6,0.6,8.9,56.4,32.5,0.3,1.9,43.6
"131","1717887","1600000US1717887","17","17887","Crystal Lake city, Illinois",82.2,74.7,"2020-08-19",78.8,3.40000000000001,40170,14701,15506,87221,7.2,2,12.5,81.6,1.4,2.7,1.8,18.4
"132","1718628","1600000US1718628","17","18628","Darien city, Illinois",84,75.3,"2020-08-19",82.2,1.8,22126,8933,9278,90904,5.9,4.3,5.6,75.8,3.5,12,3.1,24.2
"133","1719083","1600000US1719083","17","19083","Deer Park village, Illinois",74.6,67.4,"2020-08-19",83.9,-9.30000000000001,3668,1229,1356,171042,2.1,1.6,1.5,87.2,0.6,10,0.7,12.8
"134","1719642","1600000US1719642","17","19642","Des Plaines city, Illinois",77.4,66.2,"2020-08-19",77.4,0,58694,22036,22960,67636,8.7,10.4,18.6,63.7,2.1,13.7,1.9,36.3
"135","1718992","1600000US1718992","17","18992","Deerfield village, Illinois",85,78.8,"2020-08-19",84.5,0.5,18930,7013,7415,144229,2.7,1.5,3.1,91.2,0.8,3.9,1,8.8
"136","1720292","1600000US1720292","17","20292","Dolton village, Illinois",64,42.4,"2020-08-19",64.1,-0.0999999999999943,22927,7690,8834,45402,23.3,0.5,2.2,4.7,90.5,0.5,2.1,95.3
"137","1720591","1600000US1720591","17","20591","Downers Grove village, Illinois",81.9,73.7,"2020-08-19",81,0.900000000000006,49644,20268,21241,88105,5.6,2.9,4.5,84.6,3.6,5.9,1.4,15.4
"138","1723256","1600000US1723256","17","23256","Elk Grove Village village, Illinois",83.6,74.9,"2020-08-19",81.4,2.19999999999999,32997,13224,13786,79680,3.8,5.8,11.9,75,1.2,10.2,1.7,25
"139","1724634","1600000US1724634","17","24634","Evergreen Park village, Illinois",77.5,66.8,"2020-08-19",77.6,-0.0999999999999943,19666,6998,7298,72054,7.2,1.3,12.9,59.9,24.7,0.7,1.8,40.1
"140","1729652","1600000US1729652","17","29652","Glencoe village, Illinois",81.4,76.6,"2020-08-19",81.3,0.100000000000009,8919,3234,3528,209143,2.3,1.2,5.5,88.6,1.5,3.6,0.8,11.4
"141","1729938","1600000US1729938","17","29938","Glenview village, Illinois",79.9,72.4,"2020-08-19",80.3,-0.399999999999991,47333,17482,18435,110402,4.5,6.1,7.1,76.5,1.4,13.2,1.8,23.5
"142","1733851","1600000US1733851","17","33851","Hebron village, Illinois",71.5,59.3,"2020-08-19",75.7,-4.2,1384,487,536,60750,6.8,0.6,18.1,77.4,1.4,0,3.1,22.6
"143","1734722","1600000US1734722","17","34722","Highland Park city, Illinois",79.1,72.1,"2020-08-19",78.4,0.699999999999989,29731,11564,12418,147962,5,1.5,7.3,87.1,1.4,2.4,1.8,12.9
"144","1735385","1600000US1735385","17","35385","Hodgkins village, Illinois",55.1,39.1,"2020-08-19",66.1,-11,1967,688,733,45682,16.1,12.1,50.7,46.6,1.3,1,0.4,53.4
"145","1735515","1600000US1735515","17","35515","Holiday Hills village, Illinois",78.3,64.6,"2020-08-19",79,-0.700000000000003,740,278,291,73947,9.5,0,6.1,87.7,0,3.6,2.6,12.3
"146","1735835","1600000US1735835","17","35835","Homer Glen village, Illinois",83.1,74.1,"2020-08-19",82.5,0.599999999999994,24467,8292,8561,103048,3.9,3,6.7,89.6,0.5,2.2,1,10.4
"147","1719837","1600000US1719837","17","19837","Diamond village, Illinois",72.7,61,"2020-08-19",75.7,-3,2707,1029,1045,60417,7.8,0,6.7,90.4,1.4,0,1.5,9.6
"148","1720149","1600000US1720149","17","20149","Dixmoor village, Illinois",46.7,27.7,"2020-08-19",62.9,-16.2,3657,1221,1522,39955,31.7,2.7,40.8,10.1,49.1,0,0,89.9
"149","1721696","1600000US1721696","17","21696","East Dundee village, Illinois",79.5,69.9,"2020-08-19",81.3,-1.8,3183,1351,1407,69514,7.1,1.3,20.7,72,0,7.3,0,28
"150","1721904","1600000US1721904","17","21904","East Hazel Crest village, Illinois",62.9,51.7,"2020-08-19",66.7,-3.8,1694,642,704,55938,8,5.3,15.2,27.7,56.2,0.6,0.3,72.3
"151","1722931","1600000US1722931","17","22931","Elburn village, Illinois",81.1,75.5,"2020-08-19",78.3,2.8,5823,1830,1830,108500,3.8,0,16,75,1.7,4.8,2.5,25
"152","1723074","1600000US1723074","17","23074","Elgin city, Illinois",71.5,62.8,"2020-08-19",73,-1.5,113023,36682,39172,67029,11.7,8.4,45.2,40.9,5.5,6.2,2.2,59.1
